,song_sp_uri,song_name,song_isrc,song_popularity,song_lyrics,class,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_genres,artist_name,artist_photo,artist_popularity,artist_sp_followers
0,spotify:track:0VUgbCK0k8QWGpLiEV8YYZ,Cálice,BRPGD7800015,49,"pai , afasta mim calice pai , afasta mim calice pai , afasta mim calice vinho tinto sangue pai , afasta mim calice pai , afasta mim calice pai , afasta mim calice vinho tinto sangue beber dessa bebida amarga tragar dor , engolir labuta calada boca , resta peito silencio cidade nao escuta vale filho santa melhor filho outra outra realidade menos morta tanta mentira , tanta forca bruta pai , afasta mim calice pai , afasta mim calice pai , afasta mim calice vinho tinto sangue pai , afasta mim calice pai , afasta mim calice pai , afasta mim calice vinho tinto sangue dificil acordar calado calada noite dano quero lancar grito desumano maneira escutado silencio todo atordoa atordoado , permaneco atento arquibancada pra qualquer momento ver emergir monstro lagoa pai , afasta mim calice pai , afasta mim calice pai , afasta mim calice vinho tinto sangue pai , afasta mim calice pai , afasta mim calice pai , afasta mim calice vinho tinto sangue gorda porca ja nao anda usada faca ja nao corta dificil , pai , abrir porta palavra presa garganta pileque homerico mundo adianta boa vontade ? calado peito , resta cuca bebados centro cidade pai , afasta mim calice pai , afasta mim calice pai , afasta mim calice vinho tinto sangue talvez mundo nao pequeno vida fato consumado quero inventar proprio pecado quero morrer proprio veneno quero perder vez cabeca cabeca perder juizo quero cheirar fumaca oleo diesel embriagar ate alguem esqueca ",Protest,0.596,0.372,4,-9.391,1,0.0606,0.848,0.0,0.331,0.293,123.125,0VUgbCK0k8QWGpLiEV8YYZ,241867,4,bossa nova,Chico Buarque,https://i.scdn.co/image/c1a6ae9e79561abeb0bd97507cf7a26696469df0,63,539597
1,spotify:track:2GAFZG9Z7UGS1iMm4Idrnr,Apesar De Você,BRPGD7800024,57,"amanha vai outro dia amanha vai outro dia amanha vai outro dia hoje voce manda falou , ta falado nao discussao , nao gente hoje anda falando lado olhando pro chao viu ? voce inventou estado inventou inventar toda escuridao voce inventou pecado esqueceu-se inventar perdao apesar voce amanha ha outro dia pergunto voce onde vai esconder enorme euforia ? vai proibir galo insistir cantar ? agua nova brotando gente amando parar chegar momento sofrimento vou cobrar juros . juro ! todo amor reprimido grito contido samba escuro voce inventou tristeza ora , fineza `` desinventar '' voce vai pagar , dobrado cada lagrima rolada nesse penar apesar voce amanha ha outro dia ainda pago pra ver jardim florescer voce nao queria voce vai amargar vendo dia raiar pedir licenca vou morrer rir dia ha vir antes voce pensa apesar voce ... apesar voce amanha ha outro dia voce vai ver manha renascer esbanjar poesia vai explicar vendo ceu clarear repente , impunemente ? vai abafar coro cantar frente apesar voce apesar voce amanha ha outro dia voce vai dar mal , etc . tal la , laia , la laia , la laia la , laia , la laia , la laia la , laia , la laia , la laia la , laia , la laia , la laia ",Protest,0.568,0.574,4,-8.993,0,0.0683,0.468,0.0,0.362,0.68,107.82,2GAFZG9Z7UGS1iMm4Idrnr,235547,4,bossa nova,Chico Buarque,https://i.scdn.co/image/c1a6ae9e79561abeb0bd97507cf7a26696469df0,63,539597
2,spotify:track:06ND7qqsmIRCuWdQNQIlTE,Roda-Viva,BRSGL6800006,53,"dias gente sente partiu morreu gente estancou repente mundo entao cresceu gente quer voz ativa destino mandar eis chega roda-viva carrega destino pra la roda mundo , roda-gigante rodamoinho , roda piao tempo rodou instante voltas coracao gente vai contra corrente ate nao poder resistir volta barco sente quanto deixou cumprir faz tempo gente cultiva linda roseira ha eis chega roda-viva carrega roseira pra la roda saia , mulata nao quer rodar , nao senhor nao posso fazer serenata roda samba acabou gente toma iniciativa viola rua , cantar eis chega roda-viva carrega viola pra la samba , viola , roseira dia fogueira queimou tudo ilusao passageira brisa primeira levou peito saudade cativa faz forca pro tempo parar eis chega roda-viva carrega saudade pra la ",Protest,0.502,0.512,10,-8.097,0,0.0337,0.793,1.8e-05,0.235,0.651,133.174,06ND7qqsmIRCuWdQNQIlTE,233400,4,bossa nova,Chico Buarque,https://i.scdn.co/image/c1a6ae9e79561abeb0bd97507cf7a26696469df0,63,539597
3,spotify:track:3Ig3k8enaBZy7cohqfnWVz,Como nossos pais,BRWMB9705419,27,"nao quero falar grande amor coisas aprendi discos quero contar vivi tudo aconteceu comigo viver melhor sonhar sei amor coisa boa tambem sei qualquer canto menor vida qualquer pessoa cuidado , bem ha perigo esquina venceram sinal fechado pra jovens abracar irmao beijar menina rua fez labio braco voz voce pergunta paixao digo encantado nova invencao vou ficar nesta cidade nao , nao vou voltar pro sertao pois vejo vir vindo vento cheiro nova estacao sei tudo ferida viva coracao ja faz tempo vi voce rua cabelo vento gente jovem reunida parede memoria lembranca quadro doi dor perceber apesar termos feito tudo , tudo tudo fizemos ainda mesmos vivemos pais idolos ainda sao mesmos aparencias aparencias nao enganam , nao voce diz nao apareceu ninguem voce pode ate dizer entao inventando voce ama passado nao ve voce ama passado nao ve novo novo sempre vem hoje sei deu ideia nova consciencia juventude casa guardado deus contando metais dor perceber apesar termos feito tudo , tudo tudo fizemos ainda mesmos vivemos pais ",Protest,0.463,0.337,8,-13.183,1,0.154,0.887,0.0,0.203,0.269,96.559,3Ig3k8enaBZy7cohqfnWVz,280627,4,bossa nova,Belchior,https://i.scdn.co/image/22365c7789eb990937bb714993951200cb0cbf88,56,297473
4,spotify:track:3AQg8DR76bH9Ko3mZXuSWK,Mosca Na Sopa,BRMCA7300117,44,"mosca pousou sopa mosca pintou pra abusar mosca pousou sopa mosca pintou pra abusar mosca pousou sopa mosca pintou pra abusar mosca perturba sono mosca quarto zumbizar mosca perturba sono mosca quarto zumbizar nao adianta vir dedetizar pois ddt pode assim exterminar porque voce mata vem outra lugar mosca pousou sopa mosca pintou pra abusar mosca pousou sopa mosca pintou pra abusar atencao , mosca grande mosca mosca perturba sono mosca quarto zum-zum-zumbizar observando abusando olha outro lado agora to sempre junto voce agua mole pedra dura tanto bate ate fura , ? mosca , irmao mosca pousou sopa mosca pintou pra abusar mosca pousou sopa mosca pintou pra abusar nao adianta vir dedetizar pois ddt pode assim exterminar porque voce mata vem outra lugar mosca pousou sopa mosca pintou pra abusar mosca pousou sopa mosca pintou pra abusar mosca perturba sono mosca quarto zumbizar mosca perturba sono mosca quarto zumbizar mosca pousou sopa mosca pintou pra abusar ",Protest,0.609,0.76,2,-10.168,1,0.087,0.332,4.86e-05,0.161,0.88,92.022,3AQg8DR76bH9Ko3mZXuSWK,239187,4,brazilian psychedelic,Raul Seixas,https://i.scdn.co/image/ad67b61dd80b071a2ac908ff3497423bc44e7c4b,62,825295
5,spotify:track:3eVyDZXJPJzUKkyWP6eLyc,O bêbado e a equilibrista,BRWMB9701651,47,"caia tarde feito viaduto bebado trajando luto lembrou carlitos lua tal dona dum bordel pedia cada estrela fria brilho aluguel nuvens la mata-borrao ceu chupavam manchas torturadas sufoco , louco ! bebado chapeu coco fazia irreverencias mil pra noite brasil brasil sonha volta irmao henfil tanta gente partiu rabo foguete chora patria mae gentil choram marias clarisses solo brasil sei dor assim pungente nao ha inutilmente esperanca danca corda bamba sombrinha cada passo dessa linha pode machucar azar esperanca equilibrista sabe show todo artista continuar ",Protest,0.442,0.417,4,-12.992,1,0.047,0.773,3.54e-06,0.229,0.276,94.233,3eVyDZXJPJzUKkyWP6eLyc,229733,4,bossa nova,Elis Regina,https://i.scdn.co/image/c0293f4c9ea2471cf495f4da5cb8684dba258f4c,63,528567
6,spotify:track:6wUp7y502iyWLuLuurlOyw,A Banda,BRSGL6600001,48,"toa vida amor chamou pra ver banda passar cantando coisas amor gente sofrida despediu-se dor pra ver banda passar cantando coisas amor homem serio contava dinheiro , parou faroleiro contava vantagem , parou namorada contava estrelas parou ver , ouvir dar passagem moca triste vivia calada , sorriu rosa triste vivia fechada , abriu meninada toda assanhou pra ver banda passar cantando coisas amor toa vida amor chamou pra ver banda passar cantando coisas amor gente sofrida despediu-se dor pra ver banda passar cantando coisas amor velho fraco esqueceu cansaco pensou ainda moco pra sair terraco dancou moca feia debrucou janela pensando banda tocava pra marcha alegre espalhou avenida insistiu lua cheia vivia escondida , surgiu cidade toda enfeitou pra ver banda passar cantando coisas amor desencanto doce acabou tudo tomou lugar banda passou cada canto cada canto dor banda passar cantando coisas amor ",Protest,0.67,0.669,2,-7.081,1,0.0476,0.831,6.89e-05,0.101,0.927,118.968,6wUp7y502iyWLuLuurlOyw,131000,4,bossa nova,Chico Buarque,https://i.scdn.co/image/c1a6ae9e79561abeb0bd97507cf7a26696469df0,63,539597
7,spotify:track:6iA7vl77EdJYLG6ooqYOOe,Que As Crianças Cantem Livres,BREMI7300018,22,"criancas cantem livreso tempo passa atravessa avenidase fruto cresce , pesa enverga velho pee vento forte quebra telhas vidracase livro sabio deixa branco nao epode nao mulher faz faltapode nao calor faz malpode nao gravata sufocaou falta dinheiro fatalve fogo brando funde ferro durove asfalto jardim voce creque ha sol nascente avermelhando ceu escurochamando homens pro tempo vivere criancas cantem livres sobre murose ensinem sonho nao pode amar dore passado abra presentes pro futuroque nao dormiu preparou amanhecer ... ",Protest,0.373,0.366,0,-10.396,1,0.0343,0.882,0.077,0.198,0.179,70.519,6iA7vl77EdJYLG6ooqYOOe,185507,4,bossa nova,Taiguara,https://i.scdn.co/image/ddf32fcd3be9b0704d8650faaf93da2d22448f75,29,16362
8,spotify:track:1bqRtNOcT1QiV1j87IoATA,Que Pais É Este,BREMI8700088,58,"favelas , senado sujeira pra todo lado ninguem respeita constituicao todos acreditam futuro nacao ! pais ? pais ? pais ? amazonas , araguaia-ia-ia baixada fluminense mato grosso , minas gerais nordeste tudo paz morte descanso sangue anda solto manchando papeis , documentos fieis descanso patrao pais , yeah ? pais ? pais ? pais , ah ? terceiro mundo , piada exterior brasil vai ficar rico vamos faturar milhao vendermos todas almas indios leilao pais ? pais ? pais ? pais ? ",Protest,0.439,0.716,0,-12.77,1,0.0341,2.17e-05,0.141,0.0912,0.4,145.581,1bqRtNOcT1QiV1j87IoATA,178733,4,brazilian punk,Legião Urbana,https://i.scdn.co/image/cd410bc7c6e3591f65d9c9ee9516d2e96acfed42,68,2420588
9,spotify:track:7oo3L1ZPEQSavDVSnlOvDa,Apenas Um Rapaz Latino Americano,BRMCA7600058,54,"apenas rapaz latino-americano dinheiro banco parentes importantes vindo interior trago cabeca cancao radio antigo compositor baiano dizia : `` tudo divino , tudo maravilhoso '' trago cabeca cancao radio antigo compositor baiano dizia : `` tudo divino , tudo maravilhoso '' ouvido muitos discos conversado pessoas caminhado caminho papo , som , dentro noite nao amigo sequer 'inda acredite nisso , nao tudo muda ! toda razao apenas rapaz latino-americano dinheiro banco parentes importantes vindo interior sei tudo proibido alias , queria dizer tudo permitido ate beijar voce escuro cinema ninguem ve sei tudo proibido alias , queria dizer tudo permitido ate beijar voce escuro cinema ninguem ve nao peca faca cancao deve correta , branca , suave limpa , leve sons , palavras , sao navalhas nao posso cantar convem querer ferir ninguem nao preocupe , amigo horrores digo somente cancao vida realmente diferente quer dizer ... vida pior apenas rapaz latino-americano dinheiro banco favor , nao saque arma saloon apenas cantor cantar voce ainda quiser atirar mate-me logo ! tarde , tres noite compromisso nao posso faltar causa voces cantar voce ainda quiser atirar mate-me logo ! tarde , tres noite compromisso nao posso faltar causa voces apenas rapaz latino-americano dinheiro banco parentes importantes vindo interior sei nada divino nada , nada maravilhoso nada , nada secreto nada , nada misterioso , nao ",Protest,0.567,0.333,4,-17.687,1,0.0425,0.54,0.0,0.0736,0.53,107.895,7oo3L1ZPEQSavDVSnlOvDa,258027,4,bossa nova,Belchior,https://i.scdn.co/image/22365c7789eb990937bb714993951200cb0cbf88,56,297473
10,spotify:track:6K022fAYR1Q2BQwKfugUi3,Jorge Maravilha,BRUM71200901,47,"nada tempo apos contratempo pro coracao nao vale pena ficar , apenas ficar chorando , resmungando , ate , nao , nao ja dizia jorge maravilha prenhe razao vale filha mao dois pais voando voce nao gosta mim , filha gosta voce nao gosta mim , filha gosta gosta tango , dengo mengo , domingo cocega pega pisca , belisca , petisca arrisca enrosca voce nao gosta mim , filha gosta voce nao gosta mim , filha gosta nada dia apos outro dia pro coracao nao vale pena ficar , apenas ficar chorando , resmungando ate , nao , nao , nao , nao ja dizia jorge maravilha prenhe razao vale filha mao dois pais sobrevoando voce nao gosta mim , filha gosta voce nao gosta mim , filha gosta voce nao gosta mim , filha gosta voce nao gosta mim , filha gosta ",Protest,0.524,0.553,4,-9.356,0,0.0386,0.193,0.0,0.25,0.462,126.113,6K022fAYR1Q2BQwKfugUi3,220453,4,bossa nova,Chico Buarque,https://i.scdn.co/image/c1a6ae9e79561abeb0bd97507cf7a26696469df0,63,539597
11,spotify:track:6DaIQLAhoc5FmSWRqWvPmR,Acender as Velas,BRCID7300007,25,"acender velasja profissaoquando nao samba , desilusao coracaoque deixa baterum anjo vai pro ceudeus perdoe , vou dizerdeus perdoe , vou dizero doutor chegou tarde demaisporque morro nao automovel pra subirnao telefone pra chamare nao beleza pra vere gente morre querer morrere gente morre querer morrerrepete tudo ! ",Protest,0.756,0.576,9,-10.525,0,0.0475,0.803,0.0006,0.274,0.95,87.566,6DaIQLAhoc5FmSWRqWvPmR,211487,4,bossa nova,Zé Keti,https://i.scdn.co/image/c146e6a63182cb0eba30710c39514ebede74cc96,34,13945
12,spotify:track:7cNeIzj70pfEjW5ZS0gOqY,Opinião,BRCID7300009,30,"podem prenderpodem baterpodem , ate deixar-me comerque nao mudo opiniaodaqui morroeu nao saio , naose nao aguaeu furo pocose nao carneeu compro ossoe ponho sopae deixa andarfale mim quiser falaraqui nao pago aluguelse morrer amanha , doutorestou pertinho ceu ",Protest,0.738,0.514,4,-7.414,0,0.163,0.773,0.0,0.293,0.722,77.995,7cNeIzj70pfEjW5ZS0gOqY,153530,4,bossa nova,Zé Keti,https://i.scdn.co/image/c146e6a63182cb0eba30710c39514ebede74cc96,34,13945
